timestep model similarity
799 CrossAttnUpBlock2D 0.998046875
779 UNetMidBlock2DCrossAttn 0.447509765625
779 UpBlock2D 0.9453125
779 UpBlock2D 0.86865234375
779 UpBlock2D 0.7998046875
779 CrossAttnUpBlock2D 0.89208984375
779 CrossAttnUpBlock2D 0.9462890625
779 CrossAttnUpBlock2D 0.93994140625
779 CrossAttnUpBlock2D 0.9921875
779 CrossAttnUpBlock2D 0.9873046875
779 CrossAttnUpBlock2D 0.96728515625
779 CrossAttnUpBlock2D 0.994140625
779 CrossAttnUpBlock2D 0.984375
779 CrossAttnUpBlock2D 0.998046875
759 UNetMidBlock2DCrossAttn 0.47265625
759 UpBlock2D 0.94580078125
759 UpBlock2D 0.87060546875
759 UpBlock2D 0.802734375
759 CrossAttnUpBlock2D 0.89501953125
759 CrossAttnUpBlock2D 0.947265625
759 CrossAttnUpBlock2D 0.94091796875
759 CrossAttnUpBlock2D 0.9921875
759 CrossAttnUpBlock2D 0.9873046875
759 CrossAttnUpBlock2D 0.9677734375
759 CrossAttnUpBlock2D 0.994140625
759 CrossAttnUpBlock2D 0.98486328125
759 CrossAttnUpBlock2D 0.998046875
739 UNetMidBlock2DCrossAttn 0.5126953125
739 UpBlock2D 0.94873046875
739 UpBlock2D 0.87548828125
739 UpBlock2D 0.8095703125
739 CrossAttnUpBlock2D 0.90087890625
739 CrossAttnUpBlock2D 0.94873046875
739 CrossAttnUpBlock2D 0.943359375
739 CrossAttnUpBlock2D 0.99267578125
739 CrossAttnUpBlock2D 0.98779296875
739 CrossAttnUpBlock2D 0.96875
739 CrossAttnUpBlock2D 0.994140625
739 CrossAttnUpBlock2D 0.986328125
739 CrossAttnUpBlock2D 0.998046875
719 UNetMidBlock2DCrossAttn 0.53369140625
719 UpBlock2D 0.94873046875
719 UpBlock2D 0.87646484375
719 UpBlock2D 0.8115234375
719 CrossAttnUpBlock2D 0.90234375
719 CrossAttnUpBlock2D 0.94970703125
719 CrossAttnUpBlock2D 0.9443359375
719 CrossAttnUpBlock2D 0.99267578125
719 CrossAttnUpBlock2D 0.98779296875
719 CrossAttnUpBlock2D 0.9697265625
719 CrossAttnUpBlock2D 0.99462890625
719 CrossAttnUpBlock2D 0.98681640625
719 CrossAttnUpBlock2D 0.998046875
699 UNetMidBlock2DCrossAttn 0.55712890625
699 UpBlock2D 0.95068359375
699 UpBlock2D 0.880859375
699 UpBlock2D 0.81787109375
699 CrossAttnUpBlock2D 0.9072265625
699 CrossAttnUpBlock2D 0.951171875
699 CrossAttnUpBlock2D 0.94677734375
699 CrossAttnUpBlock2D 0.99267578125
699 CrossAttnUpBlock2D 0.98828125
699 CrossAttnUpBlock2D 0.97119140625
699 CrossAttnUpBlock2D 0.99462890625
699 CrossAttnUpBlock2D 0.9873046875
699 CrossAttnUpBlock2D 0.998046875
679 UNetMidBlock2DCrossAttn 0.578125
679 UpBlock2D 0.951171875
679 UpBlock2D 0.88330078125
679 UpBlock2D 0.82177734375
679 CrossAttnUpBlock2D 0.90966796875
679 CrossAttnUpBlock2D 0.9521484375
679 CrossAttnUpBlock2D 0.94775390625
679 CrossAttnUpBlock2D 0.99267578125
679 CrossAttnUpBlock2D 0.98828125
679 CrossAttnUpBlock2D 0.9716796875
679 CrossAttnUpBlock2D 0.99462890625
679 CrossAttnUpBlock2D 0.98828125
679 CrossAttnUpBlock2D 0.998046875
659 UNetMidBlock2DCrossAttn 0.59716796875
659 UpBlock2D 0.95263671875
659 UpBlock2D 0.88671875
659 UpBlock2D 0.828125
659 CrossAttnUpBlock2D 0.91357421875
659 CrossAttnUpBlock2D 0.95361328125
659 CrossAttnUpBlock2D 0.94970703125
659 CrossAttnUpBlock2D 0.9931640625
659 CrossAttnUpBlock2D 0.98876953125
659 CrossAttnUpBlock2D 0.97314453125
659 CrossAttnUpBlock2D 0.9951171875
659 CrossAttnUpBlock2D 0.98876953125
659 CrossAttnUpBlock2D 0.998046875
639 UNetMidBlock2DCrossAttn 0.6142578125
639 UpBlock2D 0.953125
639 UpBlock2D 0.89013671875
639 UpBlock2D 0.83251953125
639 CrossAttnUpBlock2D 0.91650390625
639 CrossAttnUpBlock2D 0.955078125
639 CrossAttnUpBlock2D 0.95166015625
639 CrossAttnUpBlock2D 0.9931640625
639 CrossAttnUpBlock2D 0.9892578125
639 CrossAttnUpBlock2D 0.97412109375
639 CrossAttnUpBlock2D 0.9951171875
639 CrossAttnUpBlock2D 0.9892578125
639 CrossAttnUpBlock2D 0.998046875
619 UNetMidBlock2DCrossAttn 0.63623046875
619 UpBlock2D 0.95458984375
619 UpBlock2D 0.89404296875
619 UpBlock2D 0.83935546875
619 CrossAttnUpBlock2D 0.92041015625
619 CrossAttnUpBlock2D 0.95654296875
619 CrossAttnUpBlock2D 0.95361328125
619 CrossAttnUpBlock2D 0.99365234375
619 CrossAttnUpBlock2D 0.9892578125
619 CrossAttnUpBlock2D 0.97509765625
619 CrossAttnUpBlock2D 0.9951171875
619 CrossAttnUpBlock2D 0.990234375
619 CrossAttnUpBlock2D 0.998046875
599 UNetMidBlock2DCrossAttn 0.65673828125
599 UpBlock2D 0.9560546875
599 UpBlock2D 0.89794921875
599 UpBlock2D 0.845703125
599 CrossAttnUpBlock2D 0.92333984375
599 CrossAttnUpBlock2D 0.9580078125
599 CrossAttnUpBlock2D 0.95556640625
599 CrossAttnUpBlock2D 0.99365234375
599 CrossAttnUpBlock2D 0.98974609375
599 CrossAttnUpBlock2D 0.97607421875
599 CrossAttnUpBlock2D 0.99560546875
599 CrossAttnUpBlock2D 0.99072265625
599 CrossAttnUpBlock2D 0.998046875
579 UNetMidBlock2DCrossAttn 0.68115234375
579 UpBlock2D 0.95751953125
579 UpBlock2D 0.90283203125
579 UpBlock2D 0.853515625
579 CrossAttnUpBlock2D 0.927734375
579 CrossAttnUpBlock2D 0.9599609375
579 CrossAttnUpBlock2D 0.95751953125
579 CrossAttnUpBlock2D 0.994140625
579 CrossAttnUpBlock2D 0.98974609375
579 CrossAttnUpBlock2D 0.97705078125
579 CrossAttnUpBlock2D 0.99560546875
579 CrossAttnUpBlock2D 0.9912109375
579 CrossAttnUpBlock2D 0.998046875
559 UNetMidBlock2DCrossAttn 0.7001953125
559 UpBlock2D 0.958984375
559 UpBlock2D 0.90771484375
559 UpBlock2D 0.861328125
559 CrossAttnUpBlock2D 0.931640625
559 CrossAttnUpBlock2D 0.96142578125
559 CrossAttnUpBlock2D 0.95947265625
559 CrossAttnUpBlock2D 0.994140625
559 CrossAttnUpBlock2D 0.990234375
559 CrossAttnUpBlock2D 0.978515625
559 CrossAttnUpBlock2D 0.99560546875
559 CrossAttnUpBlock2D 0.99169921875
559 CrossAttnUpBlock2D 0.998046875
539 UNetMidBlock2DCrossAttn 0.71826171875
539 UpBlock2D 0.96044921875
539 UpBlock2D 0.912109375
539 UpBlock2D 0.8681640625
539 CrossAttnUpBlock2D 0.935546875
539 CrossAttnUpBlock2D 0.96337890625
539 CrossAttnUpBlock2D 0.9619140625
539 CrossAttnUpBlock2D 0.99462890625
539 CrossAttnUpBlock2D 0.99072265625
539 CrossAttnUpBlock2D 0.9794921875
539 CrossAttnUpBlock2D 0.99560546875
539 CrossAttnUpBlock2D 0.9921875
539 CrossAttnUpBlock2D 0.998046875
519 UNetMidBlock2DCrossAttn 0.73388671875
519 UpBlock2D 0.9619140625
519 UpBlock2D 0.916015625
519 UpBlock2D 0.8740234375
519 CrossAttnUpBlock2D 0.9384765625
519 CrossAttnUpBlock2D 0.96484375
519 CrossAttnUpBlock2D 0.9638671875
519 CrossAttnUpBlock2D 0.99462890625
519 CrossAttnUpBlock2D 0.99072265625
519 CrossAttnUpBlock2D 0.98046875
519 CrossAttnUpBlock2D 0.99609375
519 CrossAttnUpBlock2D 0.99267578125
519 CrossAttnUpBlock2D 0.998046875
500 UNetMidBlock2DCrossAttn 0.75048828125
500 UpBlock2D 0.96337890625
500 UpBlock2D 0.919921875
500 UpBlock2D 0.880859375
500 CrossAttnUpBlock2D 0.9423828125
500 CrossAttnUpBlock2D 0.966796875
500 CrossAttnUpBlock2D 0.9658203125
500 CrossAttnUpBlock2D 0.9951171875
500 CrossAttnUpBlock2D 0.9912109375
500 CrossAttnUpBlock2D 0.98095703125
500 CrossAttnUpBlock2D 0.99609375
500 CrossAttnUpBlock2D 0.9931640625
500 CrossAttnUpBlock2D 0.998046875
480 UNetMidBlock2DCrossAttn 0.76904296875
480 UpBlock2D 0.96533203125
480 UpBlock2D 0.9248046875
480 UpBlock2D 0.88818359375
480 CrossAttnUpBlock2D 0.9462890625
480 CrossAttnUpBlock2D 0.96826171875
480 CrossAttnUpBlock2D 0.96728515625
480 CrossAttnUpBlock2D 0.9951171875
480 CrossAttnUpBlock2D 0.9912109375
480 CrossAttnUpBlock2D 0.98193359375
480 CrossAttnUpBlock2D 0.99609375
480 CrossAttnUpBlock2D 0.99365234375
480 CrossAttnUpBlock2D 0.998046875
460 UNetMidBlock2DCrossAttn 0.7861328125
460 UpBlock2D 0.96728515625
460 UpBlock2D 0.92919921875
460 UpBlock2D 0.89501953125
460 CrossAttnUpBlock2D 0.94970703125
460 CrossAttnUpBlock2D 0.9697265625
460 CrossAttnUpBlock2D 0.96923828125
460 CrossAttnUpBlock2D 0.99560546875
460 CrossAttnUpBlock2D 0.99169921875
460 CrossAttnUpBlock2D 0.98291015625
460 CrossAttnUpBlock2D 0.99658203125
460 CrossAttnUpBlock2D 0.994140625
460 CrossAttnUpBlock2D 0.998046875
440 UNetMidBlock2DCrossAttn 0.80126953125
440 UpBlock2D 0.96875
440 UpBlock2D 0.93359375
440 UpBlock2D 0.90087890625
440 CrossAttnUpBlock2D 0.95263671875
440 CrossAttnUpBlock2D 0.970703125
440 CrossAttnUpBlock2D 0.970703125
440 CrossAttnUpBlock2D 0.99560546875
440 CrossAttnUpBlock2D 0.9921875
440 CrossAttnUpBlock2D 0.98388671875
440 CrossAttnUpBlock2D 0.99658203125
440 CrossAttnUpBlock2D 0.99462890625
440 CrossAttnUpBlock2D 0.998046875
420 UNetMidBlock2DCrossAttn 0.81396484375
420 UpBlock2D 0.97021484375
420 UpBlock2D 0.93701171875
420 UpBlock2D 0.90673828125
420 CrossAttnUpBlock2D 0.95556640625
420 CrossAttnUpBlock2D 0.97216796875
420 CrossAttnUpBlock2D 0.97216796875
420 CrossAttnUpBlock2D 0.99609375
420 CrossAttnUpBlock2D 0.9921875
420 CrossAttnUpBlock2D 0.984375
420 CrossAttnUpBlock2D 0.99658203125
420 CrossAttnUpBlock2D 0.9951171875
420 CrossAttnUpBlock2D 0.998046875
400 UNetMidBlock2DCrossAttn 0.8271484375
400 UpBlock2D 0.9716796875
400 UpBlock2D 0.94091796875
400 UpBlock2D 0.912109375
400 CrossAttnUpBlock2D 0.95849609375
400 CrossAttnUpBlock2D 0.9736328125
400 CrossAttnUpBlock2D 0.9736328125
400 CrossAttnUpBlock2D 0.99609375
400 CrossAttnUpBlock2D 0.99267578125
400 CrossAttnUpBlock2D 0.9853515625
400 CrossAttnUpBlock2D 0.9970703125
400 CrossAttnUpBlock2D 0.99560546875
400 CrossAttnUpBlock2D 0.998046875
380 UNetMidBlock2DCrossAttn 0.83837890625
380 UpBlock2D 0.97314453125
380 UpBlock2D 0.9443359375
380 UpBlock2D 0.91748046875
380 CrossAttnUpBlock2D 0.96142578125
380 CrossAttnUpBlock2D 0.974609375
380 CrossAttnUpBlock2D 0.97509765625
380 CrossAttnUpBlock2D 0.99609375
380 CrossAttnUpBlock2D 0.99267578125
380 CrossAttnUpBlock2D 0.986328125
380 CrossAttnUpBlock2D 0.9970703125
380 CrossAttnUpBlock2D 0.99609375
380 CrossAttnUpBlock2D 0.998046875
360 UNetMidBlock2DCrossAttn 0.85009765625
360 UpBlock2D 0.974609375
360 UpBlock2D 0.94775390625
360 UpBlock2D 0.9228515625
360 CrossAttnUpBlock2D 0.96435546875
360 CrossAttnUpBlock2D 0.97607421875
360 CrossAttnUpBlock2D 0.9765625
360 CrossAttnUpBlock2D 0.99658203125
360 CrossAttnUpBlock2D 0.9931640625
360 CrossAttnUpBlock2D 0.98681640625
360 CrossAttnUpBlock2D 0.9970703125
360 CrossAttnUpBlock2D 0.99609375
360 CrossAttnUpBlock2D 0.998046875
340 UNetMidBlock2DCrossAttn 0.85986328125
340 UpBlock2D 0.97607421875
340 UpBlock2D 0.951171875
340 UpBlock2D 0.927734375
340 CrossAttnUpBlock2D 0.966796875
340 CrossAttnUpBlock2D 0.9775390625
340 CrossAttnUpBlock2D 0.97802734375
340 CrossAttnUpBlock2D 0.99658203125
340 CrossAttnUpBlock2D 0.99365234375
340 CrossAttnUpBlock2D 0.98779296875
340 CrossAttnUpBlock2D 0.9970703125
340 CrossAttnUpBlock2D 0.99658203125
340 CrossAttnUpBlock2D 0.998046875
320 UNetMidBlock2DCrossAttn 0.869140625
320 UpBlock2D 0.9775390625
320 UpBlock2D 0.9541015625
320 UpBlock2D 0.93212890625
320 CrossAttnUpBlock2D 0.96923828125
320 CrossAttnUpBlock2D 0.978515625
320 CrossAttnUpBlock2D 0.9794921875
320 CrossAttnUpBlock2D 0.9970703125
320 CrossAttnUpBlock2D 0.99365234375
320 CrossAttnUpBlock2D 0.98828125
320 CrossAttnUpBlock2D 0.99755859375
320 CrossAttnUpBlock2D 0.99658203125
320 CrossAttnUpBlock2D 0.998046875
300 UNetMidBlock2DCrossAttn 0.8779296875
300 UpBlock2D 0.97900390625
300 UpBlock2D 0.95751953125
300 UpBlock2D 0.9365234375
300 CrossAttnUpBlock2D 0.9716796875
300 CrossAttnUpBlock2D 0.9794921875
300 CrossAttnUpBlock2D 0.98046875
300 CrossAttnUpBlock2D 0.9970703125
300 CrossAttnUpBlock2D 0.994140625
300 CrossAttnUpBlock2D 0.9892578125
300 CrossAttnUpBlock2D 0.99755859375
300 CrossAttnUpBlock2D 0.9970703125
300 CrossAttnUpBlock2D 0.998046875
280 UNetMidBlock2DCrossAttn 0.8857421875
280 UpBlock2D 0.97998046875
280 UpBlock2D 0.9599609375
280 UpBlock2D 0.94091796875
280 CrossAttnUpBlock2D 0.9736328125
280 CrossAttnUpBlock2D 0.98046875
280 CrossAttnUpBlock2D 0.98193359375
280 CrossAttnUpBlock2D 0.9970703125
280 CrossAttnUpBlock2D 0.99462890625
280 CrossAttnUpBlock2D 0.98974609375
280 CrossAttnUpBlock2D 0.99755859375
280 CrossAttnUpBlock2D 0.9970703125
280 CrossAttnUpBlock2D 0.99853515625
260 UNetMidBlock2DCrossAttn 0.89404296875
260 UpBlock2D 0.9814453125
260 UpBlock2D 0.96337890625
260 UpBlock2D 0.94482421875
260 CrossAttnUpBlock2D 0.97607421875
260 CrossAttnUpBlock2D 0.9814453125
260 CrossAttnUpBlock2D 0.98291015625
260 CrossAttnUpBlock2D 0.99755859375
260 CrossAttnUpBlock2D 0.99462890625
260 CrossAttnUpBlock2D 0.990234375
260 CrossAttnUpBlock2D 0.99755859375
260 CrossAttnUpBlock2D 0.99755859375
260 CrossAttnUpBlock2D 0.99853515625
240 UNetMidBlock2DCrossAttn 0.90185546875
240 UpBlock2D 0.98291015625
240 UpBlock2D 0.9658203125
240 UpBlock2D 0.94873046875
240 CrossAttnUpBlock2D 0.97802734375
240 CrossAttnUpBlock2D 0.98291015625
240 CrossAttnUpBlock2D 0.98388671875
240 CrossAttnUpBlock2D 0.99755859375
240 CrossAttnUpBlock2D 0.9951171875
240 CrossAttnUpBlock2D 0.99072265625
240 CrossAttnUpBlock2D 0.998046875
240 CrossAttnUpBlock2D 0.99755859375
240 CrossAttnUpBlock2D 0.99853515625
220 UNetMidBlock2DCrossAttn 0.908203125
220 UpBlock2D 0.98388671875
220 UpBlock2D 0.96826171875
220 UpBlock2D 0.9521484375
220 CrossAttnUpBlock2D 0.97998046875
220 CrossAttnUpBlock2D 0.9833984375
220 CrossAttnUpBlock2D 0.98486328125
220 CrossAttnUpBlock2D 0.998046875
220 CrossAttnUpBlock2D 0.9951171875
220 CrossAttnUpBlock2D 0.9912109375
220 CrossAttnUpBlock2D 0.998046875
220 CrossAttnUpBlock2D 0.998046875
220 CrossAttnUpBlock2D 0.99853515625
200 UNetMidBlock2DCrossAttn 0.9150390625
200 UpBlock2D 0.9853515625
200 UpBlock2D 0.97119140625
200 UpBlock2D 0.9560546875
200 CrossAttnUpBlock2D 0.98193359375
200 CrossAttnUpBlock2D 0.98486328125
200 CrossAttnUpBlock2D 0.98583984375
200 CrossAttnUpBlock2D 0.998046875
200 CrossAttnUpBlock2D 0.99560546875
200 CrossAttnUpBlock2D 0.99169921875
200 CrossAttnUpBlock2D 0.998046875
200 CrossAttnUpBlock2D 0.998046875
200 CrossAttnUpBlock2D 0.99853515625
180 UNetMidBlock2DCrossAttn 0.92138671875
180 UpBlock2D 0.986328125
180 UpBlock2D 0.9736328125
180 UpBlock2D 0.95947265625
180 CrossAttnUpBlock2D 0.98388671875
180 CrossAttnUpBlock2D 0.9853515625
180 CrossAttnUpBlock2D 0.98681640625
180 CrossAttnUpBlock2D 0.998046875
180 CrossAttnUpBlock2D 0.99560546875
180 CrossAttnUpBlock2D 0.9921875
180 CrossAttnUpBlock2D 0.998046875
180 CrossAttnUpBlock2D 0.99853515625
180 CrossAttnUpBlock2D 0.99853515625
160 UNetMidBlock2DCrossAttn 0.9267578125
160 UpBlock2D 0.9873046875
160 UpBlock2D 0.9755859375
160 UpBlock2D 0.96240234375
160 CrossAttnUpBlock2D 0.9853515625
160 CrossAttnUpBlock2D 0.986328125
160 CrossAttnUpBlock2D 0.98779296875
160 CrossAttnUpBlock2D 0.99853515625
160 CrossAttnUpBlock2D 0.99609375
160 CrossAttnUpBlock2D 0.99267578125
160 CrossAttnUpBlock2D 0.99853515625
160 CrossAttnUpBlock2D 0.99853515625
160 CrossAttnUpBlock2D 0.99853515625
140 UNetMidBlock2DCrossAttn 0.93212890625
140 UpBlock2D 0.98828125
140 UpBlock2D 0.9775390625
140 UpBlock2D 0.96533203125
140 CrossAttnUpBlock2D 0.98681640625
140 CrossAttnUpBlock2D 0.9873046875
140 CrossAttnUpBlock2D 0.98876953125
140 CrossAttnUpBlock2D 0.99853515625
140 CrossAttnUpBlock2D 0.99609375
140 CrossAttnUpBlock2D 0.9931640625
140 CrossAttnUpBlock2D 0.99853515625
140 CrossAttnUpBlock2D 0.99853515625
140 CrossAttnUpBlock2D 0.99853515625
120 UNetMidBlock2DCrossAttn 0.9375
120 UpBlock2D 0.9892578125
120 UpBlock2D 0.97998046875
120 UpBlock2D 0.96826171875
120 CrossAttnUpBlock2D 0.98828125
120 CrossAttnUpBlock2D 0.98828125
120 CrossAttnUpBlock2D 0.98974609375
120 CrossAttnUpBlock2D 0.99853515625
120 CrossAttnUpBlock2D 0.99658203125
120 CrossAttnUpBlock2D 0.9931640625
120 CrossAttnUpBlock2D 0.99853515625
120 CrossAttnUpBlock2D 0.99853515625
120 CrossAttnUpBlock2D 0.99853515625
100 UNetMidBlock2DCrossAttn 0.9423828125
100 UpBlock2D 0.990234375
100 UpBlock2D 0.98193359375
100 UpBlock2D 0.97119140625
100 CrossAttnUpBlock2D 0.98974609375
100 CrossAttnUpBlock2D 0.98876953125
100 CrossAttnUpBlock2D 0.990234375
100 CrossAttnUpBlock2D 0.99853515625
100 CrossAttnUpBlock2D 0.99658203125
100 CrossAttnUpBlock2D 0.99365234375
100 CrossAttnUpBlock2D 0.99853515625
100 CrossAttnUpBlock2D 0.9990234375
100 CrossAttnUpBlock2D 0.99853515625
80 UNetMidBlock2DCrossAttn 0.947265625
80 UpBlock2D 0.9912109375
80 UpBlock2D 0.9833984375
80 UpBlock2D 0.9736328125
80 CrossAttnUpBlock2D 0.9912109375
80 CrossAttnUpBlock2D 0.98974609375
80 CrossAttnUpBlock2D 0.9912109375
80 CrossAttnUpBlock2D 0.9990234375
80 CrossAttnUpBlock2D 0.9970703125
80 CrossAttnUpBlock2D 0.994140625
80 CrossAttnUpBlock2D 0.9990234375
80 CrossAttnUpBlock2D 0.9990234375
80 CrossAttnUpBlock2D 0.99853515625
60 UNetMidBlock2DCrossAttn 0.95166015625
60 UpBlock2D 0.99169921875
60 UpBlock2D 0.9853515625
60 UpBlock2D 0.97607421875
60 CrossAttnUpBlock2D 0.9921875
